nohup: ignoring input
Loading files from: ../data/training_set/*/*.jpg
Starting Training:
>112, dA[0.088,0.024] dB[0.116,0.048] g[11.722,11.982] s_elaps=1881
>113, dA[0.112,0.070] dB[0.223,0.185] g[11.430,11.376] s_elaps=1898
>114, dA[0.075,0.080] dB[0.110,0.066] g[11.350,11.368] s_elaps=1914
>115, dA[0.122,0.044] dB[0.111,0.077] g[10.992,11.083] s_elaps=1930
>116, dA[0.071,0.099] dB[0.117,0.081] g[10.577,10.382] s_elaps=1946
>117, dA[0.128,0.053] dB[0.104,0.081] g[10.880,11.190] s_elaps=1962
>118, dA[0.060,0.032] dB[0.059,0.035] g[11.471,11.621] s_elaps=1978
>119, dA[0.068,0.078] dB[0.063,0.050] g[11.033,11.043] s_elaps=1995
>120, dA[0.085,0.062] dB[0.089,0.094] g[10.791,10.893] s_elaps=2011
>121, dA[0.070,0.069] dB[0.077,0.074] g[11.600,11.806] s_elaps=2027
>122, dA[0.142,0.077] dB[0.145,0.078] g[10.932,11.187] s_elaps=2043
>123, dA[0.092,0.056] dB[0.098,0.083] g[11.057,11.119] s_elaps=2059
>124, dA[0.067,0.056] dB[0.096,0.045] g[11.612,11.508] s_elaps=2075
>125, dA[0.074,0.037] dB[0.079,0.072] g[11.060,11.385] s_elaps=2091
>126, dA[0.057,0.039] dB[0.073,0.057] g[11.511,11.553] s_elaps=2108
>127, dA[0.075,0.090] dB[0.138,0.061] g[11.563,11.607] s_elaps=2124
>128, dA[0.070,0.052] dB[0.063,0.074] g[11.034,11.380] s_elaps=2140
>129, dA[0.071,0.050] dB[0.083,0.052] g[11.645,11.776] s_elaps=2156
>130, dA[0.080,0.054] dB[0.102,0.047] g[11.441,11.519] s_elaps=2172
>131, dA[0.156,0.077] dB[0.192,0.117] g[11.154,11.658] s_elaps=2189
>132, dA[0.112,0.063] dB[0.103,0.093] g[10.745,11.341] s_elaps=2205
>133, dA[0.114,0.073] dB[0.132,0.088] g[10.010,10.388] s_elaps=2221
>134, dA[0.071,0.034] dB[0.106,0.087] g[11.010,11.187] s_elaps=2237
>135, dA[0.067,0.048] dB[0.117,0.044] g[11.001,11.386] s_elaps=2253
>136, dA[0.093,0.047] dB[0.127,0.056] g[11.221,11.667] s_elaps=2270
>137, dA[0.053,0.050] dB[0.059,0.040] g[10.856,11.329] s_elaps=2286
>138, dA[0.235,0.091] dB[0.275,0.102] g[11.024,11.225] s_elaps=2302
>139, dA[0.046,0.050] dB[0.067,0.063] g[10.852,11.280] s_elaps=2318
>140, dA[0.091,0.077] dB[0.116,0.061] g[10.716,10.953] s_elaps=2334
>141, dA[0.094,0.072] dB[0.072,0.080] g[10.142,10.550] s_elaps=2350
>142, dA[0.108,0.104] dB[0.131,0.047] g[10.551,10.719] s_elaps=2367
>143, dA[0.081,0.094] dB[0.070,0.064] g[10.797,11.194] s_elaps=2383
>144, dA[0.110,0.035] dB[0.061,0.042] g[11.024,11.500] s_elaps=2399
>145, dA[0.118,0.131] dB[0.149,0.070] g[10.830,10.910] s_elaps=2415
>146, dA[0.155,0.069] dB[0.091,0.067] g[10.671,11.401] s_elaps=2431
>147, dA[0.065,0.086] dB[0.060,0.045] g[11.336,11.666] s_elaps=2447
>148, dA[0.075,0.077] dB[0.070,0.065] g[11.485,11.791] s_elaps=2464
>149, dA[0.196,0.100] dB[0.179,0.083] g[10.751,11.204] s_elaps=2480
>150, dA[0.107,0.052] dB[0.118,0.082] g[10.749,11.104] s_elaps=2496
>151, dA[0.113,0.064] dB[0.107,0.074] g[10.970,11.061] s_elaps=2512
>152, dA[0.038,0.061] dB[0.049,0.060] g[10.627,10.773] s_elaps=2529
>153, dA[0.159,0.033] dB[0.137,0.066] g[11.873,12.138] s_elaps=2545
>154, dA[0.094,0.100] dB[0.079,0.052] g[10.040,9.930] s_elaps=2561
>155, dA[0.053,0.055] dB[0.045,0.074] g[10.507,10.585] s_elaps=2577
>156, dA[0.055,0.060] dB[0.078,0.088] g[10.617,10.773] s_elaps=2593
>157, dA[0.087,0.070] dB[0.115,0.147] g[10.640,10.810] s_elaps=2609
>158, dA[0.122,0.082] dB[0.159,0.046] g[10.148,9.903] s_elaps=2626
>159, dA[0.076,0.075] dB[0.082,0.085] g[10.763,10.506] s_elaps=2642
>160, dA[0.145,0.073] dB[0.126,0.037] g[10.586,10.760] s_elaps=2658
>161, dA[0.102,0.040] dB[0.097,0.058] g[10.434,10.595] s_elaps=2674
>162, dA[0.190,0.113] dB[0.122,0.040] g[10.817,11.185] s_elaps=2690
>163, dA[0.061,0.038] dB[0.056,0.054] g[10.745,10.823] s_elaps=2706
>164, dA[0.067,0.040] dB[0.057,0.059] g[9.905,10.221] s_elaps=2723
>165, dA[0.087,0.052] dB[0.129,0.039] g[10.294,10.391] s_elaps=2739
>166, dA[0.056,0.028] dB[0.091,0.075] g[10.518,10.625] s_elaps=2755
>167, dA[0.037,0.036] dB[0.084,0.064] g[10.781,10.883] s_elaps=2771
>168, dA[0.078,0.031] dB[0.093,0.048] g[11.156,11.403] s_elaps=2787
>169, dA[0.083,0.059] dB[0.161,0.080] g[10.296,10.320] s_elaps=2803
>170, dA[0.031,0.031] dB[0.094,0.050] g[11.567,11.725] s_elaps=2819
>171, dA[0.128,0.070] dB[0.173,0.080] g[10.219,10.279] s_elaps=2835
>172, dA[0.129,0.057] dB[0.163,0.092] g[9.810,10.050] s_elaps=2852
>173, dA[0.056,0.038] dB[0.065,0.038] g[10.389,10.692] s_elaps=2868
>174, dA[0.039,0.021] dB[0.055,0.023] g[11.171,11.163] s_elaps=2884
>175, dA[0.038,0.027] dB[0.054,0.049] g[11.301,11.600] s_elaps=2900
>176, dA[0.042,0.038] dB[0.053,0.020] g[11.308,11.643] s_elaps=2916
>177, dA[0.050,0.023] dB[0.052,0.055] g[10.935,10.912] s_elaps=2932
>178, dA[0.086,0.052] dB[0.151,0.049] g[10.895,11.079] s_elaps=2948
>179, dA[0.176,0.054] dB[0.096,0.058] g[9.905,10.014] s_elaps=2965
>180, dA[0.034,0.028] dB[0.056,0.027] g[11.218,11.247] s_elaps=2981
>181, dA[0.083,0.023] dB[0.061,0.032] g[11.027,11.152] s_elaps=2997
>182, dA[0.049,0.028] dB[0.079,0.042] g[10.452,10.552] s_elaps=3013
>183, dA[0.028,0.019] dB[0.032,0.020] g[11.121,11.280] s_elaps=3029
>184, dA[0.071,0.027] dB[0.098,0.038] g[10.741,10.772] s_elaps=3045
>185, dA[0.036,0.023] dB[0.040,0.031] g[10.180,10.240] s_elaps=3062
>186, dA[0.076,0.027] dB[0.096,0.022] g[10.360,10.456] s_elaps=3078
>187, dA[0.042,0.020] dB[0.038,0.022] g[11.165,11.304] s_elaps=3094
>188, dA[0.109,0.021] dB[0.129,0.033] g[9.773,10.134] s_elaps=3110
>189, dA[0.050,0.038] dB[0.043,0.041] g[11.201,11.226] s_elaps=3126
>190, dA[0.037,0.016] dB[0.059,0.025] g[10.117,10.455] s_elaps=3142
>191, dA[0.046,0.028] dB[0.060,0.036] g[10.009,10.073] s_elaps=3159
>192, dA[0.064,0.025] dB[0.053,0.033] g[10.217,10.531] s_elaps=3175
>193, dA[0.105,0.047] dB[0.097,0.053] g[10.434,10.664] s_elaps=3191
>194, dA[0.057,0.052] dB[0.053,0.032] g[11.079,11.342] s_elaps=3207
>195, dA[0.048,0.018] dB[0.039,0.021] g[10.673,10.808] s_elaps=3224
>196, dA[0.090,0.098] dB[0.047,0.040] g[10.687,10.690] s_elaps=3240
>197, dA[0.088,0.024] dB[0.020,0.020] g[11.409,11.632] s_elaps=3256
>198, dA[0.076,0.140] dB[0.081,0.037] g[11.748,12.086] s_elaps=3272
>199, dA[0.204,0.074] dB[0.055,0.049] g[11.454,11.820] s_elaps=3288
>200, dA[0.061,0.088] dB[0.047,0.023] g[9.757,9.700] s_elaps=3304
>201, dA[0.125,0.045] dB[0.026,0.017] g[10.344,10.635] s_elaps=3321
>202, dA[0.025,0.060] dB[0.037,0.019] g[10.900,10.543] s_elaps=3337
>203, dA[0.121,0.046] dB[0.117,0.040] g[9.761,9.968] s_elaps=3353
>204, dA[0.042,0.020] dB[0.059,0.025] g[10.026,10.054] s_elaps=3369
>205, dA[0.082,0.036] dB[0.087,0.025] g[10.295,10.482] s_elaps=3385
>206, dA[0.025,0.018] dB[0.030,0.033] g[11.136,11.258] s_elaps=3401
>207, dA[0.057,0.022] dB[0.064,0.033] g[9.993,10.044] s_elaps=3418
>208, dA[0.062,0.010] dB[0.085,0.026] g[10.690,10.842] s_elaps=3434
>209, dA[0.034,0.014] dB[0.037,0.017] g[10.324,10.445] s_elaps=3450
>210, dA[0.054,0.015] dB[0.073,0.036] g[11.911,12.151] s_elaps=3466
>211, dA[0.025,0.018] dB[0.031,0.026] g[9.586,9.852] s_elaps=3482
>212, dA[0.036,0.014] dB[0.046,0.034] g[10.321,10.478] s_elaps=3498
>213, dA[0.056,0.026] dB[0.101,0.069] g[9.888,10.238] s_elaps=3515
>214, dA[0.041,0.022] dB[0.057,0.033] g[10.299,10.165] s_elaps=3531
>215, dA[0.074,0.040] dB[0.092,0.028] g[10.384,10.336] s_elaps=3547
>216, dA[0.048,0.025] dB[0.031,0.019] g[10.621,10.584] s_elaps=3563
>217, dA[0.048,0.017] dB[0.037,0.021] g[10.187,10.477] s_elaps=3579
>218, dA[0.036,0.020] dB[0.026,0.017] g[10.372,10.915] s_elaps=3596
>219, dA[0.025,0.026] dB[0.027,0.014] g[10.205,10.230] s_elaps=3612
>220, dA[0.052,0.018] dB[0.041,0.030] g[10.282,10.628] s_elaps=3628
>221, dA[0.030,0.019] dB[0.038,0.024] g[10.185,10.317] s_elaps=3644
>222, dA[0.056,0.023] dB[0.064,0.034] g[10.057,10.326] s_elaps=3660
>223, dA[0.029,0.023] dB[0.080,0.081] g[10.280,10.664] s_elaps=3676
>224, dA[0.090,0.036] dB[0.155,0.038] g[10.988,11.266] s_elaps=3693
>225, dA[0.036,0.013] dB[0.081,0.137] g[9.878,10.249] s_elaps=3709
>226, dA[0.027,0.025] dB[0.123,0.055] g[10.806,10.980] s_elaps=3725
>227, dA[0.053,0.019] dB[0.101,0.170] g[9.634,9.936] s_elaps=3741
>228, dA[0.047,0.043] dB[0.169,0.053] g[9.917,10.045] s_elaps=3757
>229, dA[0.064,0.033] dB[0.071,0.094] g[10.025,10.243] s_elaps=3774
>230, dA[0.093,0.077] dB[0.146,0.055] g[9.202,9.328] s_elaps=3790
>231, dA[0.122,0.077] dB[0.023,0.019] g[11.675,12.012] s_elaps=3806
>232, dA[0.046,0.074] dB[0.066,0.034] g[10.272,10.668] s_elaps=3822
>233, dA[0.175,0.103] dB[0.038,0.050] g[10.062,10.673] s_elaps=3838
>234, dA[0.100,0.058] dB[0.087,0.057] g[9.610,9.857] s_elaps=3855
>235, dA[0.081,0.031] dB[0.067,0.030] g[10.810,10.845] s_elaps=3871
>236, dA[0.033,0.021] dB[0.033,0.025] g[10.867,11.225] s_elaps=3887
>237, dA[0.109,0.093] dB[0.152,0.087] g[10.121,10.272] s_elaps=3903
>238, dA[0.102,0.015] dB[0.130,0.063] g[9.383,9.806] s_elaps=3920
>239, dA[0.021,0.021] dB[0.022,0.024] g[9.772,9.927] s_elaps=3936
>240, dA[0.045,0.037] dB[0.065,0.035] g[11.086,11.236] s_elaps=3952
>241, dA[0.019,0.026] dB[0.021,0.032] g[10.908,11.219] s_elaps=3968
>242, dA[0.073,0.037] dB[0.104,0.063] g[9.363,9.972] s_elaps=3984
>243, dA[0.021,0.023] dB[0.026,0.028] g[10.068,10.454] s_elaps=4001
>244, dA[0.046,0.018] dB[0.096,0.056] g[10.166,10.309] s_elaps=4017
>245, dA[0.036,0.034] dB[0.058,0.020] g[9.817,9.718] s_elaps=4033
>246, dA[0.023,0.034] dB[0.035,0.039] g[10.456,10.829] s_elaps=4049
>247, dA[0.052,0.036] dB[0.066,0.044] g[10.372,10.558] s_elaps=4065
>248, dA[0.032,0.026] dB[0.064,0.026] g[10.728,11.019] s_elaps=4082
>249, dA[0.027,0.065] dB[0.060,0.051] g[10.527,10.615] s_elaps=4098
>250, dA[0.099,0.052] dB[0.131,0.036] g[11.196,11.251] s_elaps=4114
>251, dA[0.111,0.052] dB[0.116,0.046] g[10.352,10.568] s_elaps=4130
>252, dA[0.028,0.023] dB[0.050,0.048] g[10.281,10.257] s_elaps=4146
>253, dA[0.079,0.032] dB[0.123,0.039] g[10.533,10.520] s_elaps=4163
>254, dA[0.025,0.024] dB[0.074,0.064] g[10.209,10.039] s_elaps=4179
>255, dA[0.043,0.017] dB[0.045,0.027] g[10.891,11.138] s_elaps=4195
>256, dA[0.020,0.024] dB[0.052,0.064] g[10.354,10.164] s_elaps=4211
>257, dA[0.036,0.020] dB[0.060,0.031] g[10.818,11.172] s_elaps=4227
>258, dA[0.026,0.015] dB[0.030,0.044] g[10.939,11.299] s_elaps=4244
>259, dA[0.019,0.018] dB[0.026,0.017] g[10.502,10.550] s_elaps=4260
>260, dA[0.026,0.018] dB[0.046,0.023] g[11.377,11.577] s_elaps=4276
>261, dA[0.014,0.018] dB[0.022,0.027] g[9.805,10.034] s_elaps=4292
>262, dA[0.047,0.021] dB[0.069,0.032] g[10.259,10.563] s_elaps=4308
>263, dA[0.058,0.020] dB[0.100,0.041] g[9.856,9.949] s_elaps=4324
